,count,mean,std,min,25%,50%,75%,max
feature4492,400.0,0.054511358396249994,0.0309411341214933,0.0,0.036282499999999995,0.06483028,0.073919965,0.15614094
feature4493,400.0,0.05423646696625001,0.03352854670135131,0.0,0.03152266725,0.060952682,0.07463170250000001,0.18967932
feature4494,400.0,0.044838301335,0.0265528519201155,0.0,0.023216908,0.0555937435,0.065041635,0.101863585
feature4495,400.0,0.04915626071375,0.02947800814792786,0.0,0.02811834525,0.058233074999999995,0.07225461999999999,0.15395842
feature4496,400.0,0.07872871418374999,0.03578942009767291,0.0,0.0747678675,0.090302493,0.099831355,0.16559681
feature4497,400.0,0.131873024345,0.0631592125195621,0.0,0.11568545999999999,0.13814712499999998,0.163250685,0.32452658
feature4498,400.0,0.080560400215,0.03638815979978214,0.0,0.07625487125,0.090175178,0.10146944999999999,0.18983474
feature4499,400.0,0.0559568695425,0.030248632879178002,0.0,0.042538257499999996,0.064624937,0.0753846835,0.18790677
feature4500,400.0,0.048324668335,0.02703248864507381,0.0,0.031921749,0.057469508,0.0677473265,0.12966798
feature4501,400.0,0.050894118181249996,0.031019332247702626,0.0,0.026788811000000003,0.059105953,0.073037085,0.16794245
feature4502,400.0,0.049041703475000004,0.029675754372514518,0.0,0.02144350075,0.0608890525,0.071818954,0.11283606
feature4503,400.0,0.05676809357874999,0.03417387245856866,0.0,0.030611369,0.068315365,0.0839447325,0.14675285
feature4504,400.0,0.08990608627,0.04288083558957505,0.0,0.0847417775,0.1013251075,0.1111546605,0.25227103
feature4505,400.0,0.08328652264375,0.04274487979876454,0.0,0.07599478,0.09006160499999999,0.105386039,0.22865956
feature4506,400.0,0.057656261990000006,0.030749880545465784,0.0,0.04426444,0.066864645,0.0772169525,0.22865956
feature4507,400.0,0.04483504958825,0.025974482523892936,0.0,0.0270088725,0.0532099135,0.0646713725,0.104541674
feature4508,400.0,0.04404733689325001,0.02672222865048707,0.0,0.02004635525,0.054101953,0.06470948,0.1084713
feature4509,400.0,0.0556744971115,0.03842410499242694,0.0,0.0202292795,0.06521999249999999,0.08016345875,0.22345449
feature4510,400.0,0.052173681230749995,0.03320528090454949,0.0,0.0196800555,0.06563455,0.077751705,0.11684588
feature4511,400.0,0.05412790572000001,0.03348579084704704,0.0,0.028261375749999998,0.06512864,0.081728889,0.119695485
feature4512,400.0,0.06788093217249999,0.035236242019014805,0.0,0.0551295685,0.080569397,0.0893026415,0.17888014
feature4513,400.0,0.0978929442075,0.0464368970431864,0.0,0.091375662,0.10618697,0.121121485,0.2929866
feature4514,400.0,0.0686995316175,0.034128341834143996,0.0,0.058217553500000005,0.07807624199999999,0.0922599325,0.15276474
feature4515,400.0,0.058670392722500006,0.03361662396699496,0.0,0.037675692999999996,0.068521895,0.08252884875,0.20279308
feature4516,400.0,0.0636896204525,0.035664004463242915,0.0,0.04494897575,0.07403256999999999,0.08769874500000001,0.18971434
feature4517,400.0,0.07187391836375,0.042927039684669994,0.0,0.049860642000000004,0.07953848799999999,0.09882558550000001,0.2759348
feature4518,400.0,0.05431982751325,0.031513295633619626,0.0,0.03462467225,0.06397927749999999,0.07623684374999999,0.1418735
feature4519,400.0,0.046804030066249995,0.027270073125465782,0.0,0.027399207,0.057584687,0.06691116,0.1386116
feature4520,400.0,0.06205986262125,0.031124777047173684,0.0,0.051428673,0.07061851499999999,0.08211792999999999,0.19637379
feature4521,400.0,0.16318098984999999,0.07018413011263526,0.0,0.15677865,0.17161333,0.1939111325,0.32522938
feature4522,400.0,0.09519735711999999,0.04079150873215034,0.0,0.09358866625,0.10656732,0.11608401374999999,0.2502626
feature4523,400.0,0.06474557212375,0.03656782122758812,0.0,0.0469632335,0.07561950749999999,0.087216655,0.20317061
feature4524,400.0,0.065548956605,0.03722106454145624,0.0,0.0494769165,0.07518842,0.08589091,0.21978085
feature4525,400.0,0.06818908141749999,0.04074340596005938,0.0,0.0514952865,0.07419374000000001,0.0919149975,0.18408804
feature4526,400.0,0.05475030436500001,0.029851029300968755,0.0,0.0404079145,0.065061395,0.074473174,0.13037248
feature4527,400.0,0.05545217207125,0.03138464424192137,0.0,0.039189948749999995,0.06341375,0.07419598499999999,0.1503243
feature4528,400.0,0.09592659789,0.041120810979667355,0.0,0.0921819875,0.10591196750000001,0.11824905375,0.24069588
feature4529,400.0,0.1636564514525,0.07188622350711377,0.0,0.15541863250000001,0.17336854499999999,0.19716732250000002,0.32452658
feature4530,400.0,0.09324974358999999,0.040371534415758345,0.0,0.09103275,0.10397934,0.113862865,0.2411271
feature4531,400.0,0.05739802057499999,0.03128913218671887,0.0,0.0464961115,0.0660847175,0.0740753925,0.20317061
feature4532,400.0,0.05624114543,0.03093890106207522,0.0,0.04588206875,0.06476148000000001,0.074858922,0.20317061
feature4533,400.0,0.06548538265750001,0.03801142428895789,0.0,0.0465068465,0.07260372,0.091134755,0.2117327
feature4534,400.0,0.0632353289625,0.03706867378291728,0.0,0.03973872525,0.07300827500000001,0.08699043125,0.17482617
feature4535,400.0,0.06530104472750001,0.03701781895096234,0.0,0.0463008875,0.0747926025,0.088929225,0.18140991
feature4536,400.0,0.099351962805,0.043077830359008085,0.0,0.0952407,0.111514115,0.1216210825,0.24043863
feature4537,400.0,0.099538122485,0.047786851699650856,0.0,0.0920416875,0.108666805,0.123155076,0.23617499
feature4538,400.0,0.06500542339500001,0.0328628138860144,0.0,0.055356578000000004,0.07363097499999999,0.08323488375,0.22299278
feature4539,400.0,0.049601559767500004,0.02843522794623873,0.0,0.032597583,0.057937809,0.06979668675,0.16622221
feature4540,400.0,0.05362507682999999,0.03204025624063397,0.0,0.026506977,0.06648972,0.07680705,0.14760917
feature4541,400.0,0.06708977351749999,0.04386425913797461,0.0,0.02679883325,0.079801015,0.09712313125000001,0.27615148
feature4542,400.0,0.059963918348750006,0.037698469156125944,0.0,0.023499845249999998,0.074786915,0.0877999555,0.14217877
feature4543,400.0,0.057455600401249994,0.034548262308556045,0.0,0.0308666095,0.06761687499999999,0.08363913875000001,0.1237494
feature4544,400.0,0.07202196248125001,0.034944605756742624,0.0,0.0605101105,0.08557923,0.09479470000000001,0.15745915
feature4545,400.0,0.09738018650500001,0.04580228356324985,0.0,0.0901338775,0.106496125,0.120564948,0.28095263
feature4546,400.0,0.06144604954625,0.031233584840376565,0.0,0.0483336615,0.07017388,0.0826660675,0.1373034
feature4547,400.0,0.0479349134575,0.02618722582121677,0.0,0.0330057495,0.056594000000000005,0.06747238925,0.100812115
feature4548,400.0,0.05612966035499999,0.03229224667266043,0.0,0.04071177925,0.06538355500000001,0.0777734985,0.18521565
feature4549,400.0,0.07129237384499999,0.042338653752649356,0.0,0.049698927500000004,0.078842035,0.0980177505,0.2759348
feature4550,400.0,0.06195061323499999,0.034913097331670424,0.0,0.044171284,0.07434408,0.0873449725,0.13232432
feature4551,400.0,0.0566423854575,0.03302812250605125,0.0,0.0332717045,0.069023055,0.0823607275,0.12974745
feature4552,400.0,0.06899116075375,0.03376876632222429,0.0,0.056672698,0.07942388,0.09205888125,0.15319566
feature4553,400.0,0.163636136175,0.07075785557403648,0.0,0.15724340250000002,0.17109480500000002,0.19477746499999998,0.32522938
feature4554,400.0,0.0960356118025,0.041771884361038736,0.0,0.0937633275,0.10669596,0.11751687999999999,0.22865956
feature4555,400.0,0.05628935173749999,0.030758133280140612,0.0,0.043604207,0.064298785,0.07557374,0.13502343
feature4556,400.0,0.055805068495,0.030046608086276367,0.0,0.043020116,0.06573907500000001,0.0741665825,0.14555955
feature4557,400.0,0.06766279113,0.04038210119021285,0.0,0.050833811,0.07328971249999999,0.0911978425,0.20354484
feature4558,400.0,0.0642776432525,0.0371875775974534,0.0,0.048757302249999995,0.07335858,0.08656009,0.18223266
feature4559,400.0,0.06363548817625,0.035714746088235425,0.0,0.046440577499999997,0.07460876,0.0869204195,0.19985813
feature4560,400.0,0.09411702938,0.04060670137460365,0.0,0.092550385,0.10505299800000001,0.11528963,0.19565861
feature4561,400.0,0.16342003505000002,0.07164755255625715,0.0,0.15344241249999999,0.172381145,0.19613210250000002,0.32452658
feature4562,400.0,0.0995121180225,0.04250015125400156,0.0,0.09823247625,0.1115975575,0.12177331250000001,0.20505494
feature4563,400.0,0.0652659889175,0.037597981190672314,0.0,0.042344429249999996,0.07562727699999999,0.09032612250000001,0.18340673
feature4564,400.0,0.0636572960125,0.037176057766142495,0.0,0.040081315,0.07325957250000001,0.0876316935,0.16631977
feature4565,400.0,0.06571333528825,0.03842253890113466,0.0,0.0472944805,0.07454219249999999,0.0912287555,0.20317061
feature4566,400.0,0.05580727763624999,0.03082699777887464,0.0,0.042409656500000004,0.065936545,0.07525173125,0.20317061
feature4567,400.0,0.05701049565,0.030893368758306394,0.0,0.0472685195,0.0654163775,0.073982388,0.19263195
feature4568,400.0,0.0926300232775,0.04027911850237668,0.0,0.0896939575,0.101954115,0.1131238275,0.2238445
feature4569,400.0,0.09983960245999998,0.049048651888011795,0.0,0.0912902155,0.10912749899999999,0.1234070725,0.24667183
feature4570,400.0,0.0728167443725,0.03483154970114984,0.0,0.06614887500000001,0.0852541,0.095707175,0.16112038
feature4571,400.0,0.058095722815,0.03486962233170336,0.0,0.033696095499999995,0.068867205,0.0853818955,0.12968814
feature4572,400.0,0.0612840258475,0.038308599415498606,0.0,0.026321279500000003,0.0752385975,0.088974069,0.24662957
feature4573,400.0,0.06778372706925,0.043429617189685535,0.0,0.024198043000000002,0.08096679,0.09703947125000001,0.27615148
feature4574,400.0,0.052734055089999995,0.032776450738702355,0.0,0.023680509500000002,0.0660501,0.07769283499999999,0.144651
feature4575,400.0,0.0481890514175,0.02776157768143968,0.0,0.02985957325,0.057694205,0.06846215650000001,0.17689435
feature4576,400.0,0.06387350096000001,0.031214632291757666,0.0,0.05544244425,0.07452696,0.0835203385,0.20317061
feature4577,400.0,0.08058643991749999,0.041102126621744596,0.0,0.07101077750000001,0.08817445800000001,0.10249973999999999,0.24533135
feature4578,400.0,0.054034537031249996,0.030346706527172616,0.0,0.0374835425,0.0620629985,0.0740275075,0.14613073
feature4579,400.0,0.04192512182125,0.024889625590819756,0.0,0.023778527,0.0498628635,0.06112170375,0.094505064
feature4580,400.0,0.0456326357275,0.02663947993137309,0.0,0.0275385005,0.055268250500000005,0.064783055,0.13771448
feature4581,400.0,0.05983477618449999,0.038248184012185334,0.0,0.03453679975,0.06768484,0.08285939375000001,0.2759348
feature4582,400.0,0.05470068000449999,0.03205583550364617,0.0,0.02867130075,0.067495275,0.07772011,0.13783136
feature4583,400.0,0.05405610733125,0.032301914784772956,0.0,0.0290599845,0.06566074699999999,0.08001207575,0.1319239
feature4584,400.0,0.06564410287625,0.033998643034231724,0.0,0.04888740975,0.07663151,0.087660188,0.17751516
feature4585,400.0,0.1300529312175,0.06350637864823969,0.0,0.11365397375,0.13347499,0.16229084,0.32522938
feature4586,400.0,0.0787841719925,0.036968443463448644,0.0,0.0733274035,0.0918515545,0.09988568874999999,0.1576797
feature4587,400.0,0.0497729118225,0.029090991131432632,0.0,0.0327516075,0.0595369115,0.07329292875,0.101132825
feature4588,400.0,0.046276021712500004,0.026574487978319124,0.0,0.02585194775,0.057183397,0.06601989750000001,0.106972136
feature4589,400.0,0.05310255276,0.03269636211146977,0.0,0.0305478595,0.06082282,0.073641545,0.19299473
feature4590,400.0,0.05267792756875,0.03062408065759475,0.0,0.03436639475,0.06405684,0.073168855,0.17579587
feature4591,400.0,0.05920482316875,0.03309061615003498,0.0,0.0411657995,0.07117474800000001,0.0831135265,0.143129
feature4592,400.0,0.088613916355,0.04133399020040137,0.0,0.082525005,0.09909847299999999,0.1096600525,0.21550219
feature4593,400.0,0.1318538003175,0.0639403084563658,0.0,0.114544478,0.137152095,0.16402199,0.32452658
feature4594,400.0,0.09128883417499999,0.04365811204501514,0.0,0.08820116125000001,0.1040664825,0.111968775,0.23461127
feature4595,400.0,0.057407318801249996,0.034127839772786356,0.0,0.0317481675,0.0675828575,0.08275133999999999,0.13458368
feature4596,400.0,0.050019708437500005,0.029672795274981782,0.0,0.028124304750000002,0.060625283,0.0721237,0.116364576
feature4597,400.0,0.05069165196,0.031132395140526917,0.0,0.027439222,0.058544277500000005,0.0732178,0.17110588
feature4598,400.0,0.047002587782499994,0.027569999529148577,0.0,0.026947599,0.0574866625,0.0670540325,0.11611433
feature4599,400.0,0.0529152090875,0.029399826170932338,0.0,0.0363618725,0.063079185,0.07363008325,0.11427793
feature4600,400.0,0.07889425467,0.036206793783032355,0.0,0.074874786,0.089946427,0.09922741800000001,0.20020233
feature4601,400.0,0.08352875732625,0.04364118374276014,0.0,0.0734140335,0.09246324,0.10336967875,0.24168806
feature4602,400.0,0.06909198859375,0.03601698228804362,0.0,0.059061315749999996,0.081396057,0.09077538,0.1994074
feature4603,400.0,0.0547057148075,0.03369274580458233,0.0,0.029348692,0.06611636500000001,0.0813156345,0.11720009
feature4604,400.0,0.05349456673875,0.034390372329404735,0.0,0.02318014825,0.0657105,0.07847611,0.27615148
feature4605,400.0,0.0553098164475,0.03824651600697281,0.0,0.01741662125,0.064275785,0.0811929815,0.27615148
feature4606,400.0,0.04276064189875,0.02749518415670331,0.0,0.01620402525,0.0531478915,0.06445131700000001,0.103181474
feature4607,400.0,0.04351645555875,0.027259655107676896,0.0,0.0184185475,0.052904822000000004,0.0642056775,0.15339959
feature4608,400.0,0.056335213140000014,0.029964508541630144,0.0,0.04445766125,0.06766365499999999,0.07633705,0.12171612
feature4609,400.0,0.09353047565,0.02460285816993259,0.0,0.0809565295,0.09206848249999999,0.1049208615,0.21612506
